	optimized_1245.py	optimized_6608.py	optimized_1722.py	optimized_4432.py	optimized_5612.py	optimized_5910.py	optimized_615.py	optimized_3114.py	optimized_7544.py	optimized_1040.py	optimized_4365.py	optimized_208.py	optimized_6270.py	optimized_3094.py	optimized_1333.py	optimized_819.py	optimized_406.py	optimized_2470.py	optimized_1650.py	optimized_2633.py	optimized_6805.py	optimized_4077.py	optimized_1150.py	optimized_2801.py	optimized_1294.py	optimized_8135.py	optimized_4110.py	optimized_1202.py	optimized_8153.py	optimized_9063.py	optimized_6019.py	optimized_6804.py	optimized_9529.py	optimized_9297.py	optimized_2417.py	optimized_8511.py	optimized_8163.py	optimized_5315.py	optimized_6982.py	optimized_5572.py	optimized_8363.py	optimized_3550.py	optimized_563.py	optimized_5997.py	optimized_3827.py	optimized_7607.py	optimized_2716.py	optimized_8671.py	optimized_7603.py	optimized_3189.py	optimized_724.py	optimized_8387.py	optimized_5217.py	optimized_9580.py	optimized_1157.py	optimized_318.py	optimized_8582.py	optimized_7534.py	optimized_7365.py	optimized_1623.py	optimized_2524.py	optimized_1562.py	optimized_7458.py	optimized_8681.py	optimized_4806.py	optimized_1076.py	optimized_959.py	optimized_693.py	optimized_4309.py	optimized_8129.py	optimized_1425.py	optimized_7925.py	optimized_810.py	optimized_1945.py	optimized_249.py	optimized_0.py	optimized_6328.py	optimized_2895.py	optimized_129.py	optimized_5181.py	optimized_8891.py	optimized_798.py	optimized_550.py	optimized_9012.py	optimized_4153.py	optimized_3103.py	optimized_7909.py	optimized_6545.py	optimized_8256.py	optimized_9270.py	optimized_2502.py	optimized_9139.py	optimized_2204.py	optimized_3777.py	optimized_4857.py	optimized_6381.py	optimized_5435.py	optimized_8662.py	optimized_9781.py	optimized_1395.py	optimized_6295.py	optimized_3466.py	optimized_9985.py	optimized_3083.py	optimized_1738.py	optimized_474.py	optimized_4152.py	optimized_4374.py	optimized_6550.py	optimized_4456.py	optimized_7772.py	optimized_75.py	optimized_8352.py	optimized_9395.py	optimized_6926.py	optimized_8621.py	optimized_1526.py	optimized_8006.py	optimized_3617.py	optimized_9375.py	optimized_1689.py	optimized_5839.py	optimized_8548.py	optimized_3401.py	optimized_6214.py	optimized_697.py	optimized_5914.py	optimized_325.py	optimized_460.py	optimized_9743.py	optimized_1769.py	optimized_5791.py	optimized_201.py	optimized_5648.py	optimized_5312.py	optimized_9194.py	optimized_887.py	optimized_2142.py	optimized_9424.py	optimized_6747.py	optimized_6043.py	optimized_4600.py	optimized_3126.py	optimized_7693.py	optimized_5081.py	optimized_3799.py	optimized_3508.py	optimized_9938.py	optimized_9767.py	optimized_273.py	optimized_3184.py	optimized_9052.py	optimized_6071.py	optimized_1215.py	optimized_562.py	optimized_2285.py	optimized_2388.py	optimized_6696.py	optimized_6715.py	optimized_3509.py	optimized_794.py	optimized_5175.py	optimized_7950.py	optimized_8809.py	optimized_1752.py	optimized_2676.py	optimized_7272.py	optimized_1834.py	optimized_7759.py	optimized_4517.py	optimized_8939.py	optimized_1661.py	optimized_191.py	optimized_9238.py	optimized_7046.py	optimized_6969.py	optimized_5051.py	optimized_6950.py	optimized_9852.py	optimized_5691.py	optimized_9633.py	optimized_9960.py	optimized_5870.py	optimized_2765.py	optimized_3701.py	optimized_8063.py	optimized_7800.py	optimized_93.py	optimized_8017.py	optimized_2652.py	optimized_2823.py	optimized_9650.py	optimized_2520.py	optimized_4523.py	optimized_6806.py	optimized_2010.py	optimized_7447.py	optimized_5781.py	optimized_5168.py	optimized_8646.py
optimized_1245.py		0.452	36.488	0.685	0.685	36.562	136.443	1.625	36.231	136.248	36.535	2.508	2.508	136.304	136.198	36.441	132.794	36.012	132.296	36.068	37.431	37.431	4.589	37.142	6.135	6.070	5.907	36.630	135.262	135.262	38.325	135.249	131.532	132.556	135.772	135.013	131.492	7.612	7.612	136.414	38.895	37.082	9.697	36.402	39.430	8.382	8.382	135.246	135.800	9.368	131.263	11.117	37.886	135.462	135.462	38.765	134.780	134.064	37.160	133.958	38.538	134.271	134.271	133.736	135.971	38.654	13.305	16.252	131.429	16.125	16.125	39.668	8.998	39.190	39.477	137.065	131.369	39.470	13.226	13.226	134.823	136.346	39.166	133.507	10.665	133.931	35.103	35.103	135.289	40.933	18.904	133.166	133.071	132.460	130.909	135.002	135.002	41.204	132.292	39.346	132.160	131.126	16.328	131.491	131.491	134.210	134.173	134.080	40.684	134.470	134.045	134.354	25.717	130.939	41.554	28.658	28.658	42.875	44.085	43.976	133.776	42.443	131.670	31.046	41.756	41.756	134.153	133.327	34.891	42.679	44.622	133.876	132.385	132.292	132.292	134.146	29.764	134.223	32.471	48.355	133.974	134.382	134.382	47.406	38.612	132.325	47.418	132.645	14.728	36.411	39.059	39.059	133.041	46.005	50.153	50.690	20.825	48.313	133.360	133.360	43.063	135.327	21.152	49.919	133.844	22.340	134.364	135.038	135.682	135.682	15.936	47.213	135.572	133.661	53.082	22.434	136.066	136.066	131.856	58.790	133.140	57.254	58.090	136.761	136.670	136.670	23.891	137.067	137.286	48.848	134.334	62.776	42.852	138.380	138.380	16.593	52.313	138.670	55.765	67.910
optimized_6608.py	0.452		36.507	0.324	136.641	136.641	136.546	1.975	36.266	136.352	36.547	2.911	36.000	136.404	136.404	36.468	132.868	36.064	132.368	36.124	37.464	137.025	137.025	37.216	6.540	6.486	6.275	36.718	135.366	133.616	38.393	38.393	131.610	132.636	135.876	135.116	131.571	8.018	36.948	36.948	38.945	37.193	10.113	36.472	39.507	8.758	131.912	131.912	135.901	9.781	131.344	11.515	38.010	135.563	38.059	38.059	134.885	134.166	37.319	134.061	38.671	134.375	136.964	133.804	133.804	38.792	13.700	16.653	131.512	16.545	13.486	39.712	39.712	39.297	39.614	137.171	131.452	39.625	13.557	38.898	134.933	134.933	39.336	133.599	10.316	134.034	35.256	13.351	135.395	135.395	19.302	133.251	133.154	132.546	130.991	135.105	40.975	40.975	132.359	39.558	132.245	131.210	16.684	131.574	41.960	134.312	134.312	134.183	40.892	134.570	134.142	134.455	26.132	131.017	131.017	29.064	134.509	43.136	44.352	44.233	133.872	42.707	42.707	31.455	42.014	11.675	134.245	133.414	35.293	42.760	42.760	133.970	132.464	132.373	134.731	134.238	30.109	134.316	32.885	48.630	48.630	134.471	134.641	47.684	38.993	132.400	47.694	132.721	132.721	36.779	39.445	134.952	133.121	46.294	50.437	50.968	20.940	20.940	133.438	22.803	43.445	135.412	21.239	50.188	133.923	133.923	134.456	135.131	135.776	51.271	16.100	47.572	135.669	133.745	133.745	22.672	136.140	55.101	131.953	59.061	133.233	57.526	57.526	136.848	136.750	53.627	23.969	137.144	137.359	49.190	134.403	134.403	43.113	138.468	60.917	16.315	52.619	138.765	56.070	68.162
optimized_1722.py	36.488	36.507		68.162	138.467	0.677	138.438	36.825	1.886	138.599	1.306	36.741	36.741	138.183	138.327	2.090	136.837	3.586	136.241	3.765	2.530	2.530	36.527	6.197	37.413	37.017	37.944	7.621	138.792	137.494	137.494	137.879	135.159	136.269	139.811	139.134	135.062	36.670	9.837	9.837	5.664	10.574	37.593	8.365	8.682	37.306	135.461	139.801	139.226	139.226	134.600	38.311	12.438	140.371	10.808	12.290	139.467	139.155	139.155	139.159	13.780	140.020	141.004	137.947	139.279	14.364	39.222	41.617	41.617	40.275	39.163	8.768	38.374	12.842	14.025	141.467	134.442	134.442	39.690	17.173	140.526	141.918	18.488	137.668	35.600	140.612	140.612	37.432	141.945	21.471	42.701	136.613	136.490	135.695	133.598	142.356	142.356	23.397	136.236	22.397	135.589	133.743	38.879	134.321	24.827	142.123	142.123	142.019	23.605	142.107	141.793	141.425	46.456	133.057	26.947	48.251	142.180	142.180	32.908	32.287	141.884	30.848	133.716	49.220	30.055	35.461	35.461	142.123	52.912	16.306	33.681	141.759	134.097	133.817	142.954	142.954	52.271	143.214	49.531	38.853	142.451	143.258	143.641	143.641	57.194	134.036	36.798	134.053	35.425	56.025	57.041	143.878	134.385	134.385	42.006	42.522	41.577	39.162	134.248	41.131	59.454	145.099	145.099	41.433	134.784	43.488	142.560	144.722	144.922	42.619	39.010	39.010	144.777	134.371	44.257	43.389	136.157	46.820	134.618	134.618	136.185	51.941	51.692	146.264	146.941	44.874	45.427	136.893	136.743	136.743	134.810	55.215	33.182	143.001	75.961	38.655	71.785	142.781	142.781	62.670
optimized_4432.py	0.685	0.324	68.162		136.698	36.632	136.603	2.169	36.327	136.410	36.600	3.132	3.132	136.461	136.359	36.520	132.891	36.133	132.389	36.189	37.517	137.081	5.011	5.011	6.742	6.621	6.449	36.786	135.428	133.636	38.451	135.404	131.642	132.669	132.669	135.178	131.606	8.102	37.030	136.585	38.998	37.273	10.303	10.303	39.556	8.838	131.947	135.409	135.961	9.883	131.381	11.622	11.622	135.622	38.146	38.972	134.951	134.226	37.406	134.122	134.122	134.438	137.034	133.820	136.130	38.875	13.795	16.821	131.554	131.554	13.573	39.762	9.238	39.343	39.684	137.235	131.494	131.494	13.636	38.976	135.003	136.515	39.446	133.653	10.241	134.097	134.097	13.390	135.462	41.222	19.438	133.287	133.193	132.588	131.036	131.036	41.073	41.516	132.379	39.655	132.283	131.258	16.734	131.617	131.617	134.379	134.335	134.250	41.003	134.633	134.203	134.522	26.307	26.307	41.884	29.235	134.569	43.262	44.481	44.346	133.936	42.833	131.793	31.628	31.628	11.671	134.303	133.469	35.468	42.765	45.033	134.031	132.511	132.511	134.801	134.298	30.281	134.379	33.070	48.767	134.115	134.115	134.703	47.809	39.179	132.445	47.841	132.769	15.238	36.953	36.953	135.012	133.172	46.432	50.574	51.112	20.839	48.736	48.736	22.846	43.638	135.468	21.117	50.330	133.978	22.401	134.516	134.516	135.837	51.436	16.148	47.744	135.734	133.800	53.486	53.486	136.191	55.254	131.998	59.212	133.275	57.668	58.513	58.513	136.804	53.777	23.897	137.198	137.415	49.401	134.451	63.180	63.180	138.518	61.110	16.313	52.803	138.811	56.265	68.316
optimized_5612.py	0.685	136.641	138.467	136.698		138.381	138.381	136.254	138.441	1.752	138.711	135.874	138.239	1.358	1.358	138.312	36.863	138.497	36.367	138.559	138.931	3.059	136.320	136.320	135.414	135.439	135.872	138.537	6.137	35.556	139.829	4.708	4.708	37.437	9.093	9.149	38.612	135.721	138.840	6.819	6.819	139.590	135.229	138.423	140.535	136.484	38.923	11.731	9.369	9.369	38.708	135.855	139.937	12.853	139.834	140.803	10.750	10.750	139.586	13.371	140.520	15.027	9.817	37.619	10.261	10.261	135.915	134.695	41.683	134.794	135.338	141.508	137.031	140.531	140.916	140.916	41.942	140.671	136.671	139.898	17.124	16.564	140.414	12.267	12.267	19.612	138.667	137.177	20.414	141.691	135.392	39.317	38.888	40.427	42.760	21.122	141.802	141.704	141.704	140.802	39.776	44.638	136.690	42.913	142.521	25.530	25.821	25.821	141.823	26.151	26.773	25.411	133.841	48.857	142.306	142.306	25.688	141.551	142.089	142.137	31.635	140.881	50.013	133.953	133.953	135.266	34.747	32.782	133.891	141.487	141.768	33.506	52.841	52.841	31.381	35.633	134.192	35.896	133.073	143.429	34.494	36.961	36.961	143.318	133.629	52.372	142.733	54.628	134.079	133.636	134.093	134.093	55.704	142.147	143.957	144.322	141.420	143.021	60.041	136.906	136.906	44.253	141.924	143.345	57.554	141.914	38.378	42.078	42.078	143.268	139.358	135.399	45.246	60.455	144.452	139.156	67.722	67.722	39.483	147.489	40.611	147.149	146.663	48.507	50.363	143.462	143.462	70.074	70.081	134.207	64.391	148.582	141.152	46.326	138.727	137.306	136.173	136.173	137.001	152.200
optimized_5910.py	36.562	136.641	0.677	36.632	138.381		138.352	36.905	1.798	138.520	1.608	36.815	36.815	138.095	138.244	1.861	136.720	3.642	136.120	3.637	3.637	138.723	36.617	6.080	37.504	37.102	38.038	7.401	138.732	137.373	137.373	137.799	135.057	136.166	139.749	139.081	134.964	36.750	36.750	139.836	5.612	10.382	37.703	8.106	8.556	37.406	37.406	139.745	139.156	36.256	134.507	38.412	12.327	140.315	10.683	10.683	139.431	139.114	14.780	139.124	13.708	139.990	140.965	140.965	139.202	14.249	39.324	41.733	134.581	40.376	39.259	39.259	38.458	12.581	14.057	141.412	134.362	16.286	39.836	39.836	140.512	141.876	18.382	137.596	35.659	140.595	13.098	13.098	141.930	21.395	42.822	136.518	136.398	135.611	133.524	133.524	20.105	23.310	136.113	22.237	135.498	133.676	39.012	134.244	134.244	142.133	142.003	142.028	23.493	142.102	141.787	141.421	46.569	46.569	26.795	48.365	142.166	30.355	32.807	32.157	141.897	30.730	30.730	49.322	29.890	35.454	143.018	142.126	53.020	16.271	16.271	141.768	134.045	133.774	142.981	142.967	52.410	143.242	49.650	49.650	142.446	143.269	143.674	38.215	57.302	133.978	36.775	134.005	134.005	56.138	57.159	143.911	134.343	36.634	41.905	42.409	42.409	39.078	134.218	41.224	59.567	145.135	42.642	41.310	41.310	43.692	142.586	144.776	144.971	42.581	39.204	65.033	144.836	144.836	44.176	43.539	136.134	46.724	134.548	52.221	136.105	136.105	51.608	146.328	146.992	44.870	45.602	136.877	136.744	65.076	65.076	55.173	32.992	142.920	76.097	38.687	71.925	142.695	142.695	62.574
optimized_615.py	136.443	136.546	138.438	136.603	138.381	138.352		136.162	138.415	1.257	138.679	135.783	138.208	138.208	1.186	138.282	37.031	138.474	36.532	138.538	138.906	2.928	136.233	136.233	135.325	135.355	135.780	138.523	5.703	35.653	139.812	139.812	38.315	37.457	8.525	8.575	38.655	135.641	138.830	6.247	6.247	139.579	135.147	138.408	140.524	136.402	38.918	11.133	11.133	135.468	38.714	135.774	139.934	12.243	139.824	140.799	10.368	10.368	139.583	12.880	140.516	14.519	9.393	37.891	9.720	9.720	135.842	134.620	41.644	134.723	135.264	141.484	136.945	140.532	140.532	12.994	41.870	140.671	136.592	139.902	16.641	15.968	140.418	140.418	137.670	19.077	138.656	137.099	19.865	141.701	135.324	135.324	38.800	40.331	42.674	20.573	141.813	141.716	38.784	38.784	39.918	44.568	136.620	42.797	142.540	25.036	25.317	24.152	24.152	25.649	26.265	24.915	133.784	48.743	142.328	133.834	133.834	141.570	142.112	142.157	31.155	140.897	49.848	133.905	141.065	141.065	34.281	32.312	133.844	141.487	141.786	33.058	52.679	52.524	52.524	35.156	134.108	35.427	133.025	143.455	34.026	36.504	36.504	143.347	133.578	52.223	142.754	54.470	134.006	133.573	134.043	134.043	55.538	142.172	143.984	144.351	141.354	143.046	59.894	59.894	134.142	43.839	141.865	143.371	57.372	141.849	37.989	37.989	44.754	143.294	139.275	135.353	44.833	60.299	144.474	144.474	67.579	145.505	39.593	147.519	40.612	147.180	146.692	48.125	48.125	143.483	143.513	69.940	69.938	134.154	64.327	148.609	148.609	46.290	138.690	137.216	136.100	43.794	136.939	152.233
optimized_3114.py	1.625	1.975	36.825	2.169	136.254	36.905	136.162		36.506	36.506	36.891	1.201	36.298	136.031	135.911	36.741	132.541	132.541	132.064	36.289	37.699	136.649	3.838	37.253	4.655	4.738	4.738	36.699	134.935	133.322	38.452	134.969	131.252	132.284	132.284	134.686	131.199	6.716	36.811	136.081	39.071	37.055	37.055	36.501	39.553	7.414	131.554	134.930	135.507	8.546	8.546	9.992	37.761	135.146	37.899	38.692	134.415	133.720	133.720	133.605	38.361	133.906	136.469	133.539	135.696	38.473	12.201	12.201	131.108	14.858	11.895	39.873	8.346	39.291	39.353	39.353	131.054	39.240	12.039	38.523	134.428	136.001	38.819	133.235	133.235	133.558	35.029	12.378	134.908	40.549	17.612	132.885	132.791	132.791	130.590	134.614	40.483	40.739	132.073	38.972	131.827	131.827	15.477	131.179	41.317	133.802	133.792	133.666	40.238	40.238	133.685	133.982	24.364	130.622	41.098	27.321	134.063	42.227	42.227	43.313	133.393	41.779	131.388	29.751	41.175	12.990	133.789	133.789	33.581	42.924	43.893	133.513	132.097	131.990	134.202	134.202	28.276	133.824	31.134	47.554	133.647	134.026	134.153	46.674	37.229	132.058	132.058	132.368	14.244	34.992	37.714	134.471	132.742	45.252	49.320	49.320	20.480	47.493	133.031	21.735	41.740	134.942	20.832	49.089	133.566	133.566	133.985	134.593	135.269	50.081	15.629	45.893	135.132	133.318	133.318	21.722	135.761	53.925	131.483	57.820	132.798	56.322	57.149	57.149	136.271	52.413	23.519	136.754	136.981	47.408	133.984	61.773	61.773	138.039	59.288	17.539	50.857	138.370	54.353	66.932
optimized_7544.py	36.231	36.266	1.886	36.327	138.441	1.798	138.415	36.506		138.564	138.564	36.380	2.213	138.166	138.303	2.192	136.367	1.964	135.792	135.792	2.175	138.824	36.193	4.726	36.937	36.566	37.498	37.498	138.722	137.071	5.922	137.856	134.685	135.806	139.773	139.067	139.067	36.238	8.205	139.853	4.915	9.056	37.024	6.580	7.951	7.951	134.990	139.752	139.202	35.718	134.130	37.788	10.739	140.347	140.347	10.876	139.360	139.072	13.437	139.058	12.245	139.907	139.907	137.498	139.265	12.948	38.648	40.866	134.174	39.576	38.591	9.168	38.029	11.870	11.870	141.466	133.969	15.085	39.183	15.657	140.373	141.875	16.868	16.868	35.699	140.479	11.907	37.059	141.819	20.042	41.950	136.161	136.048	136.048	133.137	142.228	18.686	21.876	135.777	20.868	135.060	133.257	133.257	133.871	23.335	141.935	141.837	141.828	22.018	141.948	141.637	141.637	45.511	132.618	25.442	47.292	142.052	28.905	31.351	31.351	141.674	29.307	133.313	48.208	28.504	35.464	142.800	141.934	141.934	16.320	32.206	141.562	133.705	133.417	142.717	142.738	142.738	142.987	48.510	37.302	142.285	143.057	143.404	36.833	36.833	133.660	35.292	133.681	34.816	54.986	55.983	143.648	133.998	133.998	40.473	40.937	41.429	37.592	133.833	40.552	58.344	144.852	144.852	39.886	134.446	43.231	142.352	144.461	144.674	41.046	38.789	38.789	144.514	133.979	42.735	42.960	135.780	45.263	134.101	50.734	50.734	50.353	50.210	146.019	146.675	43.468	45.113	136.507	136.507	63.769	134.390	53.714	31.935	142.427	74.834	38.602	38.602	142.254	72.955	61.128
optimized_1040.py	136.248	136.352	138.599	136.410	1.752	138.520	1.257	36.506	138.564		138.834	135.576	138.352	2.159	1.378	1.378	36.871	138.599	36.389	138.681	139.059	3.368	136.023	136.023	135.091	135.137	135.534	138.635	4.595	35.471	139.925	139.925	37.905	37.062	7.493	7.434	38.226	135.433	138.910	5.274	5.274	139.649	134.899	138.527	140.654	136.167	38.459	10.108	10.108	135.265	38.207	135.520	139.982	11.304	139.878	140.853	140.853	11.007	139.618	11.732	140.535	13.335	8.429	37.932	37.932	140.220	135.585	134.330	41.048	134.461	135.017	141.586	136.708	136.708	140.946	12.187	41.246	140.679	136.303	139.938	15.446	15.023	15.023	11.459	137.579	17.914	138.724	136.860	18.749	141.660	135.025	135.025	38.280	39.741	42.013	19.463	141.788	141.643	38.761	38.761	39.542	43.886	136.366	42.126	142.479	23.866	24.182	24.182	141.773	24.544	25.168	23.801	133.488	47.987	142.263	142.263	24.086	141.448	141.972	142.026	30.026	140.789	49.085	133.612	133.612	135.054	33.200	31.248	133.538	141.725	141.631	31.962	31.962	51.725	29.767	34.058	133.731	34.298	132.739	143.263	33.001	33.001	37.042	143.185	133.263	51.460	142.558	53.679	133.859	133.238	133.711	133.711	54.721	142.002	143.775	144.144	141.078	142.850	59.052	136.617	133.835	42.760	42.760	143.195	56.554	141.528	36.904	40.512	43.635	143.078	139.009	139.009	43.690	59.424	144.253	138.837	66.739	145.281	39.068	39.068	40.092	146.918	146.427	47.029	48.894	143.252	143.184	69.098	69.098	133.831	63.539	148.337	141.221	45.885	138.352	137.142	137.142	43.447	136.564	151.923
